Item,Qty,Datetime,Traffic
Blueberry Mint Croissant - FM,1,2023-10-07 10:56:32,1186
Croissant - Almond - FM,1,2023-10-07 10:56:11,1186
Blueberry Mint Croissant - FM,1,2023-10-07 10:55:05,1186
Croissant - Almond - FM,1,2023-10-07 10:53:50,1186
Blueberry Mint Croissant - FM,1,2023-10-07 10:49:03,1186
Drink 2 - Cold Brew - FM,1,2023-10-07 10:48:27,1186
Berry Croissant,1,2023-10-07 10:47:17,1186
Drink 2 - Cold Brew - FM,1,2023-10-07 10:45:20,1186
Berry Croissant,1,2023-10-07 10:43:41,1186
Berry Croissant,1,2023-10-07 10:43:18,1186
Berry Croissant,1,2023-10-07 10:42:19,1186
Croissant - Almond - FM,2,2023-10-07 10:42:19,1186
Drink 2 - Cold Brew - FM,1,2023-10-07 10:41:39,1186
Blueberry Mint Croissant - FM,1,2023-10-07 10:41:39,1186
Drink 2 - Cold Brew - FM,1,2023-10-07 10:41:13,1186
Drink 3 - Mango Black Tea - FM,1,2023-10-07 10:40:50,1186
Berry Croissant,1,2023-10-07 10:40:50,1186
Croissant - Pumpkin Croissant - FM,1,2023-10-07 10:40:07,1186
Croissant - Almond - FM,1,2023-10-07 10:40:07,1186
Croissant - Almond - FM,1,2023-10-07 10:39:01,1186
Drink 2 - Cold Brew - FM,1,2023-10-07 10:39:01,1186
Drink 2 - Cold Brew - FM,1,2023-10-07 10:37:22,1186
Drink 1 - Drip Coffee - FM,1,2023-10-07 10:36:20,1186
Drink 2 - Cold Brew - FM,1,2023-10-07 10:33:08,1186
Drink 1 - Drip Coffee - FM,1,2023-10-07 10:31:51,1186
Croissant - Pumpkin Croissant - FM,1,2023-10-07 10:31:51,1186
Croissant - Almond - FM,2,2023-10-07 10:28:36,1186
Croissant - Butter - FM,1,2023-10-07 10:28:36,1186
Croissant - Butter - FM,1,2023-10-07 10:27:18,1186
Drink 1 - Drip Coffee - FM,1,2023-10-07 10:23:06,1186
Berry Croissant,1,2023-10-07 10:23:06,1186
Croissant - Almond - FM,1,2023-10-07 10:23:06,1186
Drink 1 - Drip Coffee - FM,1,2023-10-07 10:23:06,1186
Drink 2 - Cold Brew - FM,2,2023-10-07 10:21:48,1186
Drink 1 - Drip Coffee - FM,1,2023-10-07 10:21:09,1186
Blueberry Mint Croissant - FM,1,2023-10-07 10:20:00,1186
Drink 2 - Cold Brew - FM,1,2023-10-07 10:20:00,1186
Drink 1 - Drip Coffee - FM,2,2023-10-07 10:19:20,1186
Drink 1 - Drip Coffee - FM,1,2023-10-07 10:16:50,1186
Berry Croissant,1,2023-10-07 10:13:48,1186
Drink 1 - Drip Coffee - FM,1,2023-10-07 10:13:48,1186
Croissant - Pain Au Chocolat - FM,1,2023-10-07 10:12:23,1186
Croissant - Pain Au Chocolat - FM,1,2023-10-07 10:11:12,1186
Croissant - Butter - FM,1,2023-10-07 10:11:12,1186
Drink 2 - Cold Brew - FM,1,2023-10-07 10:11:12,1186
Drink 1 - Drip Coffee - FM,1,2023-10-07 10:10:37,1186
Berry Croissant,1,2023-10-07 10:10:37,1186
Drink 2 - Cold Brew - FM,1,2023-10-07 10:10:37,1186
Croissant - Pain Au Chocolat - FM,1,2023-10-07 10:10:37,1186
Croissant - Pumpkin Croissant - FM,1,2023-10-07 10:09:56,1186
Drink 2 - Cold Brew - FM,1,2023-10-07 10:09:56,1186
Baguette - FM,1,2023-10-07 10:08:36,1186
Berry Croissant,1,2023-10-07 10:08:36,1186
Croissant - Almond - FM,1,2023-10-07 10:08:36,1186
Croissant - Pain Au Chocolat - FM,1,2023-10-07 10:08:36,1186
Drink 2 - Cold Brew - FM,1,2023-10-07 10:08:36,1186
Croissant - Butter - FM,1,2023-10-07 10:08:36,1186
Drink 2 - Cold Brew - FM,1,2023-10-07 10:07:10,1186
Drink 1 - Drip Coffee - FM,2,2023-10-07 10:06:00,1186
Drink 1 - Drip Coffee - FM,3,2023-10-07 10:05:08,1186
Croissant - Butter - FM,1,2023-10-07 10:05:08,1186
Croissant - Pumpkin Croissant - FM,1,2023-10-07 10:04:17,1186
Blueberry Mint Croissant - FM,1,2023-10-07 10:04:17,1186
Drink 1 - Drip Coffee - FM,2,2023-10-07 10:04:17,1186
Berry Croissant,1,2023-10-07 10:03:20,1186
Drink 1 - Drip Coffee - FM,1,2023-10-07 10:03:20,1186
Croissant - Almond - FM,1,2023-10-07 10:00:38,1186
Drink 1 - Drip Coffee - FM,1,2023-10-07 10:00:38,1186
Croissant - Butter - FM,1,2023-10-07 09:59:39,860
